Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Pink Tamu Swahili Cafe & Restaurant],Price [Pink Tamu Swahili Cafe & Restaurant],In stock [Pink Tamu Swahili Cafe & Restaurant],Low stock [Pink Tamu Swahili Cafe & Restaurant]
4th-street-red-wine,4SR24,4th Street Red Wine 750ml,Alcohol,,N,,,,,,,1200.00,,,,Y,Y,2300.00,1.000,
afia-soft-drink,AFI41,Afia Soft Drink,Nonalc Drinks,,N,,,,,,,80.00,,,,Y,Y,120.00,8.000,
airtel-airtime,AIR41,Airtel Airtime,General,,N,,,,,,,1.00,,,,Y,Y,1.00,0.000,
all-seasons-whisky-250ml,ASW38,All Seasons Whisky 250ml,Alcohol,,N,,,,,,,320.00,,,,Y,Y,540.00,1.000,
amarula-750ml,AMA47,Amarula 750ml,Alcohol,,N,,,,,,,1900.00,,,,Y,Y,3280.00,1.000,
azam-energy-drink,AZA65,Azam Energy Drink,Nonalc Drinks,,N,,,,,,,71.00,,,,Y,Y,120.00,17.000,4.000
bag/secure-storage-fee,BAG-FEE,Bag/Secure Storage Fee,Services,,N,,,,,,,0.00,,,,N,Y,variable,,
"baking-powder,-100g---supa-mandazi",BAK10,"Baking Powder, 100g - Supa Mandazi",General,,N,,,,,,,35.00,,,,Y,Y,80.00,5.000,
balloon-🎈,10005,Balloon 🎈,General,,N,,,,,,,17.50,,,,N,Y,25.00,,
balozi,BAL04,Balozi 500ml can,Alcohol,,N,,,,,,,220.00,,,,Y,Y,350.00,10.000,3.000
banana,BAN41,Banana 🍌,Food,,N,,,,,,,10.00,,,,N,Y,20.00,,
"bandage-dress,-red,-size-4-8",BAN-RED,"Bandage Dress, red, size 4-8",Fashion,,N,,,,,,,650.00,,,,Y,Y,7300.00,1.000,
beef-(per-gram),BEEFD62,Beef 1/4kg 🥩,Food,"<ul><li>Use weighing scale for confirmation of weight in grams</li><li>Selling cost of 1 gram = 1.30 KSh</li><li>nyama, steak</li></ul>",N,Wet or Deep Fry?,Deep Fry,,,,,277.50,,,,N,Y,620.00,,
beef-(per-gram),BEEFW62,,,,,,Wet Fry,,,,,277.50,,,,,Y,620.00,,
beef-stew,10008,Beef ½kg🥩,Food,,N,Wet or Deep Fry?,Deep Fry,,,,,555.00,,,,N,Y,1135.00,,
beef-stew,10006,,,,,,Wet Fry,,,,,555.00,,,,,Y,1135.00,,
beef-burger-🍔,SIN66,Beef Patty Burger 🍔,Food,,N,Size,Single 140g Patty,,,,,121.50,,,,N,Y,380.00,,
bergen-brownie-hazelnut,BER58,Bergen Brownie Hazelnut Cookies,Snacks,,N,,,,,,,340.00,,,,Y,Y,480.00,1.000,
"bergen-obsession-caramel-&-delicacies-chocolate-cookies,-128g",BER48,"Bergen Obsession Caramel & Delicacies Chocolate Cookies, 128g",Snacks,,N,,,,,,,340.00,,,,Y,Y,500.00,1.000,
best-london-dry-gin,BES75,Best London Dry Gin 750ml,Alcohol,,N,,,,,,,1000.00,,,,Y,Y,2220.00,1.000,
best-london-dry-gin-shot-bes75,BES75-H125,Best London Dry Gin Shot,Shots,,N,Size,125ml - Half Quarter,,,,,166.67,,,,N,Y,300.00,,
best-london-dry-gin-shot-bes75,BES75-B150,,,,,,150ml - Big Shot,,,,,200.00,,,,,Y,430.00,,
best-london-dry-gin-shot-bes75,BES75-T25,,,,,,25ml - Tiny Shot,,,,,33.33,,,,,Y,90.00,,
